"";"Pastor Samuel Yu";"Remember or be re-enslaved";"audio2018/sermon180624e.mp3";"Galatians 1:6-10";"2018-06-24"
"";"陳永建牧師";"屬靈生命的成長（三） 從「知道」得救「真知道」神";"audio2018/sermon180624c.mp3";"以弗所書 1:17-19, 3:17-19, 4:17-19, 5:17-19";"2018-06-24"
"";"Pastor Samuel Yu";"Hope";"audio2018/sermon180610e.mp3";"Ephesians 5:15-16";"2018-06-10"
"";"陳永建牧師";"屬靈生命成長（二） 從得救保證到預嚐將來福分（續）";"audio2018/sermon180610c.mp3";"以弗所書 1:14, 2:1-10";"2018-06-10"
"";"Pastor Carl Fitzgerald";"I have called you by name-you are mine!";"audio2018/sermon180603e.mp3";"Romans 1:11-18";"2018-06-03"
"";"許如志牧師";"最妙和最大";"audio2018/sermon180603c.mp3";"哥林多前書 12:31-13:13";"2018-06-03"
"";"陳永建牧師";"屬靈生命的成長（二） 從得救保證到預嚐將來福分";"audio2018/sermon180527c.mp3";"以弗所書 1:14,2:1-10";"2018-05-27"
"";"Pastor Samuel Yu";"God's call, plan and vision for everyone";"audio2018/sermon180520e.mp3";"Romans 8:28-30";"2018-05-20"
"";"許如志牧師";"長大成人、邁向完全";"audio2018/sermon180520c.mp3";"希伯來書 5:11-6:3";"2018-05-20"
"";"Pastor Samuel Yu";"No one is inherently healthy";"audio2018/sermon180513e.mp3";"Luke 5:27-32";"2018-05-13"
"";"陳永建牧師";"看你的母親";"audio2018/sermon180513c.mp3";"約翰福音 19:25-27";"2018-05-13"
"";"Pastor Samuel Yu";"Healed and fully forgiven";"audio2018/sermon180506e.mp3";"Matthew 9:1-8";"2018-05-06"
"";"陳永建牧師";"屬靈生命的成長（一） 從「信耶穌」到「像基督」";"audio2018/sermon180506c.mp3";"以弗所書 1:13-14，4:20-24";"2018-05-06"
"";"陳永建牧師";"愛主的人，如日頭出現，光輝烈烈";"audio2018/sermon180429c.mp3";"士師記 4:4-6, 5:1-15, 21, 31";"2018-04-29"
"";"Pastor Steve Grusendorf";"The choice is yours";"audio2018/sermon180422e.mp3";"Jonah 1:1-3";"2018-04-22"
"";"孫約翰牧師";"初期教會的三個「就」";"audio2018/sermon180422e.mp3";"使徒行傳 4:23-24, 31";"2018-04-22"
"";"孫約翰牧師";"我也照樣差遣你們";"audio2018/sermon180422c.mp3";"約翰福音 20:19-23";"2018-04-22"
"";"孫約翰牧師";"耶穌是人類的希望";"audio2018/sermon180421c3.mp3";"約翰福音 5:2-9";"2018-04-21"
"";"孫約翰牧師";"三類不同層面的需要（二）";"audio2018/sermon180421c2.mp3";"路加福音 5:1-11";"2018-04-21"
"";"孫約翰牧師";"三類不同層面的需要（一）";"audio2018/sermon180421c1.mp3";"路加福音 5:1-11";"2018-04-21"
"";"孫約翰牧師";"得人如得魚教會的要素";"audio2018/sermon180420c.mp3";"路加福音 5:1-11";"2018-04-20"
"";"Pastor Samuel Yu";"Accepted as you are";"audio2018/sermon180415e.mp3";"Luke 7:36-50";"2018-04-15"
"";"黃小石長老";"你在這裡做什麼？";"audio2018/sermon180415c.mp3";"列王記上 19:1-15a";"2018-04-15"
"";"Pastor Samuel Yu";"Faith greater than the centurion";"audio2018/sermon180408e.mp3";"Matthew 8:5-13";"2018-04-08"
"";"陳永建牧師";"得救的福音";"audio2018/sermon180408c.mp3";"以弗所書 1:3-14";"2018-04-08"
"";"Pastor Samuel Yu 于尚冕傳道";"The resurrection of Christ and His people 復活的基督和祂的信徒";"audio2018/sermon180401ec.mp3";"1 Corinthians 15:12-23 哥林多前书15:12-23";"2018-04-01"
"";"Pastor Joseph Feun";"The reading of the Palms";"audio2018/sermon180325e.mp3";"Matthew 21:1-11";"2018-03-25"
"";"勞伯祥牧師";"你是叫我抬起頭來的";"audio2018/sermon180325c.mp3";"詩篇 3";"2018-03-25"
"";"Pastor Samuel Yu";"Whole cleansing";"audio2018/sermon180318e.mp3";"Matthew 8:1-4";"2018-03-18"
"";"陳永建牧師";"萬國禱告的殿";"audio2018/sermon180318c.mp3";"以賽亞書 56:7, 列王記上 8:27-30, 9:1-3";"2018-03-18"
"";"Pastor Samuel Yu";"Key to the narrow door";"audio2018/sermon180311e.mp3";"Luke 13:22-30";"2018-03-11"
"";"陳永建牧師";"寶座前的事奉";"audio2018/sermon180311c.mp3";"以賽亜書 6:1，5-7, 以西結書 1:1-2， 26-28, 啟示錄 1:9-11,  4:1-2";"2018-03-11"
"";"陳永建牧師";"使徒保羅為教會的禱告";"audio2018/sermon180304c.mp3";"以弗所書 3:14-21";"2018-03-04"
"";"Pastor Steve Grusendorf";"The second best gift of God";"audio2018/sermon180225e.mp3";"Colossians 1:1-14";"2018-02-25"
"";"陳永建牧師";"使徒保羅為教會弟兄姐妹的禱告";"audio2018/sermon180225c.mp3";"以弗所書 1:15-23";"2018-02-25"
"";"Pastor Samuel Yu";"Make your choice, trust your choice";"audio2018/sermon180218e.mp3";"Matthew 6:24-34";"2018-02-18"
"";"陳永建牧師";"新年立新志";"audio2018/sermon180218c.mp3";"哥林多後書 5:9, 以斯拉記 7:10, 但以理 書1:8, 詩篇 17:3, 帖撒羅尼迦前書 4:11, 提摩太後書 3:12, 羅馬書 15:20";"2018-02-18"
"";"Pastor Samuel Yu";"Blessed are Christ's disciples";"audio2018/sermon180211e.mp3";"Matthew 5:1-11";"2018-02-11"
"";"陳永建牧師";"生命歷程";"audio2018/sermon180211c.mp3";"詩篇 23";"2018-02-11"
"";"Pastor Samuel Yu";"All equipped to function as one";"audio2018/sermon180204e.mp3";"Ephesians 4:11-16";"2018-02-04"
"";"許如志牧師";"整裝待發";"audio2018/sermon180204c.mp3";"約書亞書 5:13-6:5";"2018-02-04"
"";"Felix Yen";"The call of love";"audio2018/sermon180128e.mp3";"1 Timothy:11-19";"2018-01-28"
"";"張亞倫牧師";"竭力進入安息";"audio2018/sermon180128c.mp3";"以賽亞書 58：13-14";"2018-01-28"
"";"Pastor Samuel Yu";"Will you jump?";"audio2018/sermon180121e.mp3";"Genesis 12:1-4";"2018-01-21"
"";"陳永建牧師";"「以便以謝」的神";"audio2018/sermon180121c.mp3";"撒母耳記上7:1-12";"2018-01-21"
"";"Pastor Samuel Yu";"Joyful in all";"audio2018/sermon180114e.mp3";"Philippians 4:4-7";"2018-01-14"
"";"陳永建牧師";"凡事長進，連於基督";"audio2018/sermon180114c.mp3";"以弗所書 4:15-16";"2018-01-14"
"";"Pastor Samuel Yu";"Forgiven, forgive";"audio2018/sermon180107e.mp3";"Matthew 18:21-35";"2018-01-07"
"";"林三綱弟兄";"新約中偉大的職事之一—彼得";"audio2018/sermon180107c.mp3";"馬太福音 16:18-19";"2018-01-07"
