"0";"Pastor Paul Lu　呂允智牧師";"The Great Commission of Jesus Christ　耶穌基督的大使命";"audio/sermon100627.mp3";"Matthew 28:18-20　馬太福音 28:18-20";"2010-06-27"
"1";"Pastor Orville Hieb　Orville Hieb 牧師";"Sin and death or grace and life　罪與死或是恩典與生命";"audio/sermon100620.mp3";"Romans 5:12-21　羅馬書 5:12-21";"2010-06-20"
"2";"Pastor Nathan Hieb";"Choosing what is best";"audio/sermon100613e.mp3";"Luke 10:38-42, Philippians 1:9-10";"2010-06-13"
"3";"吳文蓀";"本於信以致於信";"audio/sermon100613c.mp3";"馬太福音 1:1-10";"2010-06-13"
"4";"Pastor Lee Hearn";"The grace of Jesus";"audio/sermon100606e.mp3";"1 Corinthians 12:1-11";"2010-06-06"
"5";"羅天祐傳道";"當讚美耶和華";"audio/sermon100606c.mp3";"詩篇 117";"2010-06-06"
"6";"Pastor Nathan Hieb";"The good neighbor";"audio/sermon100523e.mp3";"Luke 10:25-37, 6:37";"2010-05-23"
"7";"羅天祐傳道";"永生在世人心裡";"audio/sermon100523c.mp3";"傳道書 3:11";"2010-05-23"
"8";"Felex Yen";"A shepherd's voice";"audio/sermon100516e.mp3";"Matthew 7:7, 13-14";"2010-05-16"
"9";"勞伯祥牧師";"至終得勝";"audio/sermon100516c.mp3";"約翰福音 13:1, 	歌林多前書 1:8, 希伯來書 7:25";"2010-05-16"
"10";"Carl Fitzgerald";"Our ministry of reconciliation";"audio/sermon100509e.mp3";"2 Corinthians 5:14-21";"2010-05-09"
"11";"林三綱";"培靈會︰事奉的學習與功用（四）";"audio/revival100509c.mp3";;"2010-05-09"
"12";"林三綱";"培靈會︰事奉的學習與功用（三）";"audio/revival100508c2.mp3";;"2010-05-08"
"13";"林三綱";"培靈會︰事奉的學習與功用（二）";"audio/revival100508c1.mp3";;"2010-05-08"
"14";"林三綱";"培靈會︰事奉的學習與功用（一）";"audio/revival100507c.mp3";;"2010-05-07"
"15";"Pastor Lee Hearn";"What God thinks of us";"audio/sermon100502e.mp3";"1 Peter 2:4-12, John 3:16";"2010-05-02"
"16";"羅天祐傳道";"光陰的故事";"audio/sermon100425c.mp3";"以弗所書 5:16";"2010-04-25"
"17";"John Maxham";"God's way";"audio/sermon100418e.mp3";"Isaiah 55:1-9";"2010-04-18"
"18";"羅天祐傳道";"兩個人的見證是真的";"audio/sermon100418c.mp3";"約翰福音 8:17";"2010-04-18"
"19";"Nathan Hieb";"The Word became flesh";"audio/sermon100411e.mp3";"John 1:1-18";"2010-04-11"
"20";"羅天祐傳道";"心裏的光";"audio/sermon100411c.mp3";"馬太福音 6:22-23";"2010-04-11"
"21";"Nathan Hieb　施拿單";"The Road to Emmaus　往以馬忤斯的路上";"audio/sermon100404.mp3";"Luke 24:13-35　路加福音 24:13-35";"2010-04-04"
"22";"Jonathan Luke";"Proclaimingthe Lord's death ";"audio/sermon100328e.mp3";"Matthew 26:36-42, 27:46";"2010-03-28"
"23";"羅天祐傳道";"基督的身體";"audio/sermon100328c.mp3";"歌林多前書 12:13-27";"2010-03-28"
"24";"Rumin Zhang";"The greatreversal";"audio/sermon100321e.mp3";"Luke 16:19-31 Matthew 19:30";"2010-03-21"
"25";"羅天祐傳道";"與天相連";"audio/sermon100321c.mp3";"以弗所書 1:3, 10, 19-23";"2010-03-21"
"26";"Hao-Hsin Huang　黃浩新";"You are theman　你就是那人";"audio/sermon100314.mp3";"2 Samuel 12:1-15　撒母耳記下 12:1-15";"2010-03-14"
"27";"Pastor Lee Hearn";"The power ofthe gospel";"audio/sermon100307e.mp3";"Romans 1:17-19";"2010-03-07"
"28";"羅天祐傳道";"蒙恩之後";"audio/sermon100307c.mp3";"以弗所書 1:14:17";"2010-03-07"
"29";"Flex Yen";"My life";"audio/sermon100228e.mp3";"John 15:1-17";"2010-02-28"
"30";"林三綱";"跟隨羊群的腳蹤";"audio/sermon100228c.mp3";"雅歌 1:7-8";"2010-02-28"
"31";"Nathan Hieb";"The lostsons　失喪的兒子";"audio/sermon100221.mp3";"Luke 15:11-31　路加福音15:11-31";"2010-02-21"
"32";"Nathan Hieb";"Living water";"audio/sermon100214e.mp3";"Jeremiah 2:1-13";"2010-02-14"
"33";"張儒民";"永生何價?";"audio/sermon100214c.mp3";"馬可福音10:17-31";"2010-02-14"
"34";"Jonathan Luke";"It is I";"audio/sermon100207e.mp3";"Matthew 14:22-33";"2010-02-07"
"35";"羅天祐傳道";"跟從主（二）";"audio/sermon100207c.mp3";"馬太福音16:24";"2010-02-07"
"36";"Felix Yen";"It's allabout being super";"audio/sermon100131e.mp3";"Matthew 20:20-28";"2010-01-31"
"37";"童彼得";"平息怒氣";"audio/sermon100131c.mp3";"撒母耳記上 25:2-39";"2010-01-31"
"38";"Rumin Zhang";"Living in the wake of quake";"audio/sermon100124e.mp3";"Luke 13:1-9, Revelation 3:19";"2010-01-24"
"39";"Carl Fitzgerald";"They willknow we are christians";"audio/sermon100117e.mp3";"Acts 11:20-26, 1 Peter 4:16";"2010-01-17"
"40";"羅天祐傳道";"跟從主";"audio/sermon100117c.mp3";"約翰福音 12:26";"2010-01-17"
"41";"Nathan Hieb";"Out ofdarkness, into the light";"audio/sermon`0110e.mp3";"John 3:18";"2010-01-10"
"42";"羅天祐傳道";"邪惡淫亂世代中的傳道人(五)﹕阿摩司";"audio/sermon100110c.mp3";"阿摩司書 7:15";"2010-01-10"
"43";"Johathan Luke";"On ethics";"audio/sermon100103e.mp3";"Matthew 5:43-48";"2010-01-03"
"44";"羅天祐傳道";"邪惡淫亂世代中的傳道人(四)﹕阿摩司";"audio/sermon100103c.mp3";"阿摩司書 7:15";"2010-01-03"
