"";"Pastor Samuel Yu";"Invitations to the greatest party ever";"audio2017/sermon171231e.mp3";"Luke 14:21-23";"2017-12-31"
"";"陳永建牧師";"在得勝中與神同行";"audio2017/sermon171231c.mp3";"列王記上 18:17-39";"2017-12-31"
"";"陳永建牧師 Pastor Norman Chen";"耶穌降生的意義 The meaning of Christ's birth";"audio2017/sermon171224ce.mp3";"馬太福音 1:21, 2:1-2, 約翰福音 3:16-18 Matthew 1:21, 2:1-2, John 3:16-18";"2017-12-24"
"";"Albert Lu";"The age of morality";"audio2017/sermon171217e.mp3";"Isaiah 58:9b-14";"2017-12-17"
"";"于尚冕傳道";"恩典在前，然後行善";"audio2017/sermon171217c.mp3";"以弗所書 2:1-10";"2017-12-17"
"";"Pastor Samuel Yu";"To kow or to know of";"audio2017/sermon171210e.mp3";"Ephesians 3:17b-19";"2017-12-10"
"";"陳永建牧師";"看主所看";"audio2017/sermon171210c.mp3";"路加福音 19:1-10";"2017-12-10"
"";"Pastor Jeff Whismann";"To know that love of Jesus";"audio2017/sermon171203e.mp3";"Ephesians 3:14-19";"2017-12-03"
"";"陳永建牧師";"基督徒屬靈蒙福的原則原則（八、九）";"audio2017/sermon171203c.mp3";"馬太福音 5:1-12";"2017-12-03"
"";"Pastor Paul Han";"Understanding repentance";"audio2017/sermon171126e.mp3";"Luke 13:1-5";"2017-11-26"
"";"勞伯祥牧師";"生命之恩";"audio2017/sermon171126c.mp3";"馬太福音 14:22-36";"2017-11-26"
"";"Pastor Samuel Yu";"The gift of the Father";"audio2017/sermon171119e.mp3";"Ephesians 1:3-10";"2017-11-19"
"";"陳永建牧師";"基督徒屬靈蒙福的原則（七）";"audio2017/sermon171119c.mp3";"馬太福音 5:1-12";"2017-11-19"
"";"Pastor Steve Grusendorf";"Living in the noise";"audio2017/sermon171112e.mp3";"1 Kings 19:10-18";"2017-11-12"
"";"王朝輝傳道";"賜生命聖靈的律";"audio2017/sermon171112c.mp3";"羅馬書8:1-13";"2017-11-12"
"";"Jonathan Luke";"Christians and science: perfect together?";"audio2017/sermon171105e.mp3";"2 Peter 3:3-7";"2017-11-05"
"";"黃小石長老";"你是誰？";"audio2017/sermon171105c.mp3";"創世記 27:1-24";"2017-11-05"
"";"里壯柏老師";"誰是屬靈的";"audio2017/sermon171029c.mp3";"哥林多前書 3:1-23";"2017-10-29"
"";"Pastor Jeff Whisman";"Held captive: every thought from the world to obey Christ";"audio2017/sermon171022e.mp3";"2 Corinthians 10:5";"2017-10-22"
"";"陳永建牧師";"教會復興的能力";"audio2017/sermon171022c.mp3";"啓示錄 5:1-10";"2017-10-22"
"";"陳永建牧師";"跟主腳蹤";"audio2017/sermon171015c.mp3";"彼得前書 2:21";"2017-10-15"
"";"于尚冕傳道 Pastor Samuel Yu";"卑微的榮耀　Lowly glory";"audio2017/sermon171008ec.mp3";"撒母耳記上 13：4-13　1 Samuel 13:4-13";"2017-10-08"
"";"陳永建牧師 Pastor Norman Chen";"以神作他牧者的人有福了　Blessed are those who seek God as his shepherd";"audio2017/sermon171001ce.mp3";"詩篇 23　Psalm 23";"2017-10-01"
"";"Pastor Samuel Yu";"Fool's gold";"audio2017/sermon170924e.mp3";"Luke 18:18-30, 19:1-10";"2017-09-24"
"";"陳永建牧師";"「與神同行」的實際（四） 基督徒屬靈蒙福的原則";"audio2017/sermon170924c.mp3";"馬太福音 5:1-12";"2017-09-24"
"";"Pastor Joseph Feun";"The fellowship of the mat";"audio2017/sermon170917e.mp3";"Mark 2:1-12";"2017-09-17"
