"";"Pastor Kristal Calkins";"Who is God? Who is Jesus?";"audio2017/sermon170625e.mp3";"John 1:14-18";"2017-06-25"
"";"陳永建牧師";"榮耀中的盼望";"audio2017/sermon170625c.mp3";"彌迦書 4:1-13";"2017-06-25"
"";"Pastor Andrew Smith";"The real prodigal son";"audio2017/sermon170618e.mp3";"Luke 15:25-32";"2017-06-18"
"";"林三綱弟兄";"父親的職責";"audio2017/sermon170618c.mp3";"詩篇 127:3-5";"2017-06-18"
"";"Pastor Samuel Yu";"Two steps forward";"audio2017/sermon170611e.mp3";"Hebrews 3:8-14";"2017-06-11"
"";"陳永建牧師";"使命中的堅持";"audio2017/sermon170611c.mp3";"彌迦書 3:1-12";"2017-06-11"
"";"Pastor Andrew Smith";"Kingdom principles for the coming darkness";"audio2017/sermon170604e.mp3";"John 17:14-19";"2017-06-04"
"";"陳永建牧師";"審判中的恩典";"audio2017/sermon170604c.mp3";"彌迦書 2:1-13";"2017-06-04"
"";"陳熾傳道";"與主同行";"audio2017/sermon170528c.mp3";"約翰福音 15:13-16";"2017-05-28"
"";"David Mannon";"Keep calm and trust God’s deliverance";"audio2017/sermon170521e.mp3";"Exodus 14:1-14";"2017-05-21"
"";"陳永建牧師";"危機中的提醒";"audio2017/sermon170521c.mp3";"彌迦書 1:1-8";"2017-05-21"
"";"Olga Hynes";"A taste of heaven";"audio2017/sermon170514e.mp3";"Psalm 34:8";"2017-05-14"
"";"陳永建牧師";"使生你的快樂";"audio2017/sermon170514c.mp3";"箴言 23:25, 以弗所書 6:1-3, 箴言 23:22, 馬可福音 7:10-12";"2017-05-14"
"";"Pastor Daniel Ng";"God is king";"audio2017/sermon170507e.mp3";"Ephesians 1:3-14";"2017-05-07"
"";"賴若瀚牧師";"生命的異象與傳承";"audio2017/revival170507b.mp3";"春季佈道會";"2017-05-07"
"";"賴若瀚牧師";"飛越灰蔭的幽谷";"audio2017/revival170507a.mp3";"春季佈道會";"2017-05-07"
"";"賴若瀚牧師";"正邪之爭、復興之路";"audio2017/revival170506b.mp3";"春季佈道會";"2017-05-06"
"";"賴若瀚牧師";"在職場上作神的大使";"audio2017/revival170506a.mp3";"春季佈道會";"2017-05-06"
"";"賴若瀚牧師";"在神的學院裏受造就";"audio2017/revival170505.mp3";"春季佈道會";"2017-05-05"
"";"Pastor Nathan Hieb";"Joseph's example to us";"audio2017/sermon170430e.mp3";"Genesis 45:3-9";"2017-04-30"
"";"黃嘉生牧師";"對話永恒";"audio2017/sermon170430c.mp3";"詩篇 8:3-9";"2017-04-30"
"";"Jonathan Luke";"A culture of encouragement";"audio2017/sermon170423e.mp3";"Ephesians 4:29-32";"2017-04-23"
"";"勞伯祥牧師";"曉得祂復活的大能";"audio2017/sermon170423c.mp3";"腓立比書 3:10, 約翰福音 11:1-6, 11, 38-44";"2017-04-23"
"";"陳永建牧師　Pastor Norman Chen";"復活的信仰與信仰的復活　The faith of resurrection  and the resurrection of the faith";"audio2017/sermon170416ce.mp3";"哥林多前書 15:50-58 1 Corinthians 15:50-58";"2017-04-16"
"";"Pastor Nathan Hieb";"Fix your eyes on Jesus";"audio2017/sermon170409e.mp3";"Acts 12:19-25";"2017-04-09"
"";"陳永建牧師";"與主同走十架道路";"audio2017/sermon170409c.mp3";"馬太福音 27:33-37";"2017-04-09"
"";"Pastor Daniel Ng";"When your life is a mess";"audio2017/sermon170402e.mp3";"Acts 12:19-25";"2017-04-02"
"";"陳永建牧師";"榮耀的職份";"audio2017/sermon170402c.mp3";"哥林多後書 4:1-7";"2017-04-02"
"";"陳永建牧師";"「與神同行」 5 摩西與神同行";"audio2017/sermon170326c.mp3";"民數記 12:1-8";"2017-03-26"
"";"Pastor Nathan Hieb";"Step out in faith";"audio2017/sermon170319e.mp3";"Hebrews 13:7-8";"2017-03-19"
"";"林三綱弟兄";"大衛少年—從出生到受膏";"audio2017/sermon170319c.mp3";"詩篇 86:16";"2017-03-19"
"";"Olga Hynes";"The immortal mysterious life-giving seed";"audio2017/sermon170312e.mp3";"1 Peter 1:17-23";"2017-03-12"
"";"陳永建牧師";"「與神同行」 4 亞伯拉罕與神同行（續）";"audio2017/sermon170312c.mp3";"羅馬書 5:17-21";"2017-03-12"
"";"Jonathan Luke";"To whom would we go?";"audio2017/sermon170305e.mp3";"John 6:60-69";"2017-03-05"
"";"黃小石長老";"無神論的再思–生命的意義";"audio2017/sermon170305c.mp3";"以賽亞書 43:7";"2017-03-05"
"";"陳永建牧師";"教會論";"audio2017/sundayschool170226c.mp3";"</td>";"2017-02-26"
"";"Pastor Nathan Hieb";"Some things are expensive";"audio2017/sermon170226e.mp3";"Luke 14:31-35";"2017-02-26"
"";"張亞倫牧師";"與主同行";"audio2017/sermon170226c.mp3";"約翰一書2:27";"2017-02-26"
"";"陳永建牧師";"教會論";"audio2017/sundayschool170219c.mp3";"</td>";"2017-02-19"
"";"Pastor Nathan Hieb";"The farmer and the seed";"audio2017/sermon170219e.mp3";"Matthew 13:18-23";"2017-02-19"
"";"陳永建牧師";"「與神同行」 4 亞伯拉罕與神同行";"audio2017/sermon170219c.mp3";"創世記 12:1-3, 15:1-7, 18:22-24, 22:1-3";"2017-02-19"
"";"Pastor Daniel Ng";"Does my choice really matter?";"audio2017/sermon170212e.mp3";"</td>";"2017-02-12"
"";"陳永建牧師";"「與神同行」3 挪亜與神同行（續）";"audio2017/sermon170212c.mp3";"創世記 6:9-13, 彼得後書 2:5-8, 21";"2017-02-12"
"";"陳永建牧師";"教會論";"audio2017/sundayschool170205c.mp3";"</td>";"2017-02-05"
"";"Pastor Nathan Hieb";"Costly forgiveness";"audio2017/sermon170205e.mp3";"Matthew 18:32-35";"2017-02-05"
"";"陳永建牧師";"「與神同行」3 挪亜與神同行";"audio2017/sermon170205c.mp3";"創世記 6:9-13, 彼得後書 2:5-8, 21";"2017-02-05"
"";"Pastor Daniel Ng";"Strangers in a foreign land";"audio2017/sermon170129e.mp3";"Hebrews 11:13-16";"2017-01-29"
"";"陳永建牧師";"心意更新";"audio2017/sermon170129c.mp3";"以弗所書 4:20-24";"2017-01-29"
"";"Pastor Nathan Hieb";"Living with Jesus in the Storm";"audio2017/sermon170122e.mp3";"Mark 4:35-41";"2017-01-22"
"";"鄺健厚牧師";"你與神同行、神與你同在";"audio2017/sermon170122c.mp3";"利未記 1:1-2, 20:26";"2017-01-22"
"";"Pastor Greg Jao";"Faithfulness in the crucible";"audio2017/sermon170115e.mp3";"Daniel 1:15-21";"2017-01-15"
"";"陳永建牧師";"「與神同行」2 以諾與神同行";"audio2017/sermon170115c.mp3";"創世記 5:21-24, 猶大書 1:14-15, 希伯來書 11:5";"2017-01-15"
"";"Pastor Nathan Hieb";"Standing and seeing by faith";"audio2017/sermon170108e.mp3";"Hebrews 11:1-6";"2017-01-08"
"";"陳永建牧師";"「與神同行」1 亜當與神同行";"audio2017/sermon170108c.mp3";"啟示錄 4:11, 創世記 1:26-28, 2:7-8, 15-18";"2017-01-08"
"";"Jonathan Luke";"The second advent";"audio2017/sermon170101e.mp3";"Matthew 25:1-13";"2017-01-01"
"";"陳永建牧師";"與神同行";"audio2017/sermon170101c.mp3";"彌迦書 6:8";"2017-01-01"
